stabiliId,sourceRecordId,matchStatus,matchMethod,sourceAddress,bbl,bin,hpdBuildingId,canonicalAddress,reasonCodes,candidateHpdBuildingIds
stabili-190c46cc-afba-57ec-981e-c0888861fc8e,brooklyn-2024-p182-r22,ambiguous,manual_review,"924–926 Madison Street, Brooklyn, NY 11221",3014840006,,,"924 Madison Street, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,331302|921817
stabili-ebf79a5b-ac20-5e4c-a5cf-c0aba22599c0,brooklyn-2024-p182-r29,ambiguous,manual_review,"1098 Madison Street, Brooklyn, NY 11221",3033680018,,,"1098 Madison Street, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,330570|972826
stabili-c3361104-34f2-551d-be49-9fd2866fe7c7,brooklyn-2024-p182-r42,ambiguous,manual_review,"182 Malcolm X Boulevard, Brooklyn, NY 11221",3016410048,,,"182 Malcolm X Boulevard, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,360411|969022
stabili-88f24b4e-586d-5476-b175-333a0037d5a3,brooklyn-2024-p182-r47,ambiguous,manual_review,"221 Malcolm X Boulevard, Brooklyn, NY 11221",3016570108,,,"221 Malcolm X Boulevard, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,360442|897160
stabili-9b645386-6dba-5e02-9d1f-22b35eb9a63f,brooklyn-2024-p182-r50,ambiguous,manual_review,"228 Malcolm X Boulevard, Brooklyn, NY 11221",3016560041,,,"228 Malcolm X Boulevard, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,360449|966824
stabili-e6c19fdd-f381-595b-9771-0d9c7b750f64,brooklyn-2024-p183-r22,ambiguous,manual_review,"726 Monroe Street, Brooklyn, NY 11221",3016420037,,,"726 Monroe Street, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,339228|973705
stabili-ec1a0b30-dca4-5810-8994-d43a7f5dedb3,brooklyn-2024-p183-r35,ambiguous,manual_review,"836 Monroe Street, Brooklyn, NY 11221",3014810020,,,"836 Monroe Street, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,339292|988044
stabili-bbb71324-ae76-597a-9ed9-a4d0850f1112,brooklyn-2024-p183-r43,ambiguous,manual_review,"58 Palmetto Street, Brooklyn, NY 11221",3033490011,,,"58 Palmetto Street, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,351128|1001955
stabili-ccbed6f6-273b-5c3b-84d1-3d616522877f,brooklyn-2024-p183-r44,ambiguous,manual_review,"76 Palmetto Street, Brooklyn, NY 11221",3033490020,,,"76 Palmetto Street, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,351140|982074
stabili-6e6bd6b5-da7c-551d-b8cd-12e47eb15ea8,brooklyn-2024-p184-r7,ambiguous,manual_review,"101 Patchen Avenue, Brooklyn, NY 11221",3016380005,,,"101 Patchen Avenue, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,352554|1002891
stabili-876e637b-f653-5798-bd5d-02d18db1bcde,brooklyn-2024-p184-r22,ambiguous,manual_review,"517 Putnam Avenue, Brooklyn, NY 11221",3018260069,,,"517 Putnam Avenue, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,358240|848625
stabili-a07bca12-d405-55aa-b5d2-355705dc2f09,brooklyn-2024-p184-r45,ambiguous,manual_review,"1007–1009 Putnam Avenue, Brooklyn, NY 11221",3014840043,,,"1007 Putnam Avenue, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,357640|921837
stabili-77bdb51d-4a61-5456-938e-80a1c968aba0,brooklyn-2024-p184-r48,ambiguous,manual_review,"1023–1025 Putnam Avenue, Brooklyn, NY 11221",3014840035,,,"1023 Putnam Avenue, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,357654|921835
stabili-09dcaeca-2778-5dba-ac30-ef30b3294b6b,brooklyn-2024-p185-r16,ambiguous,manual_review,"502 Quincy Street, Brooklyn, NY 11221",3018110018,,,"502 Quincy Street, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,359413|839191
stabili-d4eead70-e362-5e8e-ae45-717f8272d33e,brooklyn-2024-p185-r30,ambiguous,manual_review,"657 Quincy Street, Brooklyn, NY 11221",3016260078,,,"657 Quincy Street, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_3_hpd_buildings,359515|940336|968111
stabili-a9c97d36-b87e-52fa-9d90-27491dad93bb,brooklyn-2024-p185-r37,ambiguous,manual_review,"834 Quincy Street, Brooklyn, NY 11221",3016330019,,,"834 Quincy Street, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,359688|973716
stabili-aaaea31f-ca8e-5f35-a11d-fec91b63ea3a,brooklyn-2024-p185-r56,ambiguous,manual_review,"18 Stanhope Street, Brooklyn, NY 11221",3032640018,,,"18 Stanhope Street, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,375526|969856
stabili-4aa87d34-9836-5c65-b270-4e9fca538289,brooklyn-2024-p185-r57,ambiguous,manual_review,"35 Stanhope Street, Brooklyn, NY 11221",3032540001,,,"35 Stanhope Street, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,290674|878572|906060
stabili-aba2a50e-6caa-549c-b12b-ace34d8efbe4,brooklyn-2024-p186-r15,ambiguous,manual_review,"150 Stanhope Street, Brooklyn, NY 11221",3032680012,,,"221 Wilson Avenue, Brooklyn, NY 11237",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings,396848|879412
stabili-4e89f065-8d55-5674-b7f9-8dcb5384f601,brooklyn-2024-p186-r47,ambiguous,manual_review,"144 Stuyvesant Avenue, Brooklyn, NY 11221",3016150046,,,"857 Greene Avenue, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings,304574|1019568
stabili-5e261136-2791-5a70-a9c3-d0cd7cc86651,brooklyn-2024-p186-r52,ambiguous,manual_review,"194 Stuyvesant Avenue, Brooklyn, NY 11221",3016300045,,,"194 Stuyvesant Avenue, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,378840|950409
stabili-96fca45a-a1ad-51ce-bdd5-29f312920b36,brooklyn-2024-p187-r6,ambiguous,manual_review,"115 Suydam Street, Brooklyn, NY 11221",3032070051,,,"115 Suydam Street, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,380324|983900
stabili-733cb87e-42c7-50fd-bb5c-14ab6a3a5b71,brooklyn-2024-p187-r22,ambiguous,manual_review,"550 Throop Avenue, Brooklyn, NY 11221",3018300042,,,"415 Jefferson Avenue, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings,317226|1001652
stabili-17b63f51-ba78-5407-b2eb-b7bd814d1382,brooklyn-2024-p187-r44,ambiguous,manual_review,"891–893 Willoughby Avenue, Brooklyn, NY 11221",3031940048,,,"893 Willoughby Avenue, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,396548|988317
stabili-18488792-a51b-5a0b-840b-29675b09aacd,brooklyn-2024-p187-r46,ambiguous,manual_review,"961–965 Willoughby Avenue, Brooklyn, NY 11221",3031830052,,,"965 Willoughby Avenue, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,970721|1007263
stabili-9edebc35-3390-5707-b1ff-a4688942ba68,brooklyn-2024-p187-r50,ambiguous,manual_review,"991 Willoughby Avenue, Brooklyn, NY 11221",3031840060,,,"991 Willoughby Avenue, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,396593|939975
stabili-eb908021-79ca-5c80-a4fc-8cc73b0290ea,brooklyn-2024-p188-r13,ambiguous,manual_review,"25 Woodbine Street, Brooklyn, NY 11221",3033480051,,,"25 Woodbine Street, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,397829|950549
stabili-8e72e78a-b790-5825-b143-2fd40dbd3e40,brooklyn-2024-p188-r14,ambiguous,manual_review,"65 Woodbine Street, Brooklyn, NY 11221",3033490045,,,"65 Woodbine Street, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,397928|970975
